symbol,instrument_token,sector,is_index
RELIANCE,NSE_EQ|INE002A01018,Energy,False
ONGC,NSE_EQ|INE213A01029,Energy,False
BPCL,NSE_EQ|INE029A01011,Energy,False
IOC,NSE_EQ|INE242A01010,Energy,False
GAIL,NSE_EQ|INE129A01019,Energy,False
HINDPETRO,NSE_EQ|INE094A01015,Energy,False
ADANIENT,NSE_EQ|INE423A01024,Energy,False
ADANIGREEN,NSE_EQ|INE364U01010,Energy,False
ADANIPORTS,NSE_EQ|INE742F01042,Energy,False
TATAPOWER,NSE_EQ|INE245A01021,Energy,False
NTPC,NSE_EQ|INE733E01010,Energy,False
POWERGRID,NSE_EQ|INE752E01010,Energy,False
TORNTPOWER,NSE_EQ|INE813H01021,Energy,False
CESC,NSE_EQ|INE486A01021,Energy,False
PETRONET,NSE_EQ|INE347G01014,Energy,False
GSPL,NSE_EQ|INE246F01010,Energy,False
JSWENERGY,NSE_EQ|INE121E01018,Energy,False
NHPC,NSE_EQ|INE848E01016,Energy,False
SJVN,NSE_EQ|INE002L01015,Energy,False
ADANITRANS,NSE_EQ|INE931S01010,Energy,False
HDFCBANK,NSE_EQ|INE040A01034,Banking,False
ICICIBANK,NSE_EQ|INE090A01021,Banking,False
SBIN,NSE_EQ|INE062A01020,Banking,False
KOTAKBANK,NSE_EQ|INE237A01036,Banking,False
AXISBANK,NSE_EQ|INE238A01034,Banking,False
INDUSINDBK,NSE_EQ|INE095A01012,Banking,False
BANKBARODA,NSE_EQ|INE028A01039,Banking,False
PNB,NSE_EQ|INE160A01022,Banking,False
FEDERALBNK,NSE_EQ|INE171A01029,Banking,False
IDFCFIRSTB,NSE_EQ|INE092T01019,Banking,False
AUBANK,NSE_EQ|INE949L01017,Banking,False
BANDHANBNK,NSE_EQ|INE545U01014,Banking,False
CANBK,NSE_EQ|INE476A01022,Banking,False
UNIONBANK,NSE_EQ|INE692A01016,Banking,False
INDIANB,NSE_EQ|INE562A01011,Banking,False
CENTRALBK,NSE_EQ|INE483A01010,Banking,False
RBLBANK,NSE_EQ|INE976G01028,Banking,False
YESBANK,NSE_EQ|INE528G01035,Banking,False
DCBBANK,NSE_EQ|INE503A01015,Banking,False
CSBBANK,NSE_EQ|INE679A01013,Banking,False
KARURVYSYA,NSE_EQ|INE036D01028,Banking,False
MAHABANK,NSE_EQ|INE457A01014,Banking,False
JKBANK,NSE_EQ|INE168A01041,Banking,False
SOUTHBANK,NSE_EQ|INE683A01023,Banking,False
TCS,NSE_EQ|INE467B01029,IT,False
INFY,NSE_EQ|INE009A01021,IT,False
WIPRO,NSE_EQ|INE075A01022,IT,False
HCLTECH,NSE_EQ|INE860A01027,IT,False
TECHM,NSE_EQ|INE669C01036,IT,False
LTIM,NSE_EQ|INE214T01019,IT,False
MPHASIS,NSE_EQ|INE356A01018,IT,False
COFORGE,NSE_EQ|INE591G01025,IT,False
PERSISTENT,NSE_EQ|INE262H01021,IT,False
LTTS,NSE_EQ|INE010V01017,IT,False
KPITTECH,NSE_EQ|INE793A01012,IT,False
OFSS,NSE_EQ|INE881D01027,IT,False
MASTEK,NSE_EQ|INE759A01021,IT,False
TATAELXSI,NSE_EQ|INE670A01012,IT,False
BIRLASOFT,NSE_EQ|INE836B01017,IT,False
CYIENT,NSE_EQ|INE136B01020,IT,False
TANLA,NSE_EQ|INE483B01026,IT,False
ROUTE,NSE_EQ|INE450U01017,IT,False
BHARTIARTL,NSE_EQ|INE397D01024,Telecom,False
IDEA,NSE_EQ|INE669E01016,Telecom,False
TATACOMM,NSE_EQ|INE151A01013,Telecom,False
HINDUNILVR,NSE_EQ|INE030A01027,FMCG,False
ITC,NSE_EQ|INE154A01025,FMCG,False
NESTLEIND,NSE_EQ|INE239A01024,FMCG,False
BRITANNIA,NSE_EQ|INE216A01030,FMCG,False
DABUR,NSE_EQ|INE016A01026,FMCG,False
MARICO,NSE_EQ|INE196A01026,FMCG,False
COLPAL,NSE_EQ|INE259A01022,FMCG,False
GODREJCP,NSE_EQ|INE102D01028,FMCG,False
TATACONSUM,NSE_EQ|INE192A01025,FMCG,False
UBL,NSE_EQ|INE686F01025,FMCG,False
MCDOWELL,NSE_EQ|INE854D01024,FMCG,False
VBL,NSE_EQ|INE200M01039,FMCG,False
EMAMILTD,NSE_EQ|INE548C01032,FMCG,False
BAJAJCON,NSE_EQ|INE933K01021,FMCG,False
JYOTHYLAB,NSE_EQ|INE668F01031,FMCG,False
RADICO,NSE_EQ|INE944F01028,FMCG,False
ZYDUSWELL,NSE_EQ|INE768C01028,FMCG,False
PGHH,NSE_EQ|INE179A01014,FMCG,False
SUNPHARMA,NSE_EQ|INE044A01036,Pharma,False
DRREDDY,NSE_EQ|INE089A01031,Pharma,False
CIPLA,NSE_EQ|INE059A01026,Pharma,False
DIVISLAB,NSE_EQ|INE361B01024,Pharma,False
AUROPHARMA,NSE_EQ|INE406A01037,Pharma,False
BIOCON,NSE_EQ|INE376G01013,Pharma,False
LUPIN,NSE_EQ|INE326A01037,Pharma,False
TORNTPHARM,NSE_EQ|INE685A01028,Pharma,False
APOLLOHOSP,NSE_EQ|INE437A01024,Pharma,False
LALPATHLAB,NSE_EQ|INE600L01024,Pharma,False
ZYDUSLIFE,NSE_EQ|INE010B01027,Pharma,False
GLENMARK,NSE_EQ|INE935A01035,Pharma,False
IPCA,NSE_EQ|INE571A01038,Pharma,False
NATCOPHARM,NSE_EQ|INE987B01026,Pharma,False
ALKEM,NSE_EQ|INE540L01014,Pharma,False
GRANULES,NSE_EQ|INE101D01020,Pharma,False
LAURUSLABS,NSE_EQ|INE947Q01028,Pharma,False
METROPOLIS,NSE_EQ|INE112L01020,Pharma,False
AJANTPHARM,NSE_EQ|INE031B01049,Pharma,False
JBCHEPHARM,NSE_EQ|INE572A01036,Pharma,False
MANKIND,NSE_EQ|INE634S01028,Pharma,False
ERIS,NSE_EQ|INE406M01024,Pharma,False
TATAMOTORS,NSE_EQ|INE155A01022,Auto,False
M&M,NSE_EQ|INE101A01026,Auto,False
MARUTI,NSE_EQ|INE585B01010,Auto,False
BAJAJ-AUTO,NSE_EQ|INE917I01010,Auto,False
EICHERMOT,NSE_EQ|INE066A01021,Auto,False
HEROMOTOCO,NSE_EQ|INE158A01026,Auto,False
TVSMOTOR,NSE_EQ|INE494B01023,Auto,False
ASHOKLEY,NSE_EQ|INE208A01029,Auto,False
BALKRISIND,NSE_EQ|INE787D01026,Auto,False
MRF,NSE_EQ|INE883A01011,Auto,False
MOTHERSON,NSE_EQ|INE775A01035,Auto,False
BOSCHLTD,NSE_EQ|INE323A01026,Auto,False
CEATLTD,NSE_EQ|INE482A01020,Auto,False
APOLLOTYRE,NSE_EQ|INE438A01022,Auto,False
ESCORTS,NSE_EQ|INE042A01014,Auto,False
BHARATFORG,NSE_EQ|INE465A01025,Auto,False
EXIDEIND,NSE_EQ|INE302A01020,Auto,False
AMARAJABAT,NSE_EQ|INE885A01032,Auto,False
SUNDRMFAST,NSE_EQ|INE387A01021,Auto,False
MAHINDCIE,NSE_EQ|INE536H01010,Auto,False
TATASTEEL,NSE_EQ|INE081A01020,Metals,False
JSWSTEEL,NSE_EQ|INE019A01038,Metals,False
HINDALCO,NSE_EQ|INE038A01020,Metals,False
COALINDIA,NSE_EQ|INE522F01014,Metals,False
VEDL,NSE_EQ|INE205A01025,Metals,False
NMDC,NSE_EQ|INE584A01023,Metals,False
NATIONALUM,NSE_EQ|INE139A01034,Metals,False
SAIL,NSE_EQ|INE114A01011,Metals,False
JINDALSTEL,NSE_EQ|INE220G01021,Metals,False
APLAPOLLO,NSE_EQ|INE702C01027,Metals,False
RATNAMANI,NSE_EQ|INE703B01027,Metals,False
WELCORP,NSE_EQ|INE191B01025,Metals,False
MOIL,NSE_EQ|INE490G01020,Metals,False
HINDCOPPER,NSE_EQ|INE531E01026,Metals,False
TATACHEM,NSE_EQ|INE092A01019,Metals,False
ULTRACEMCO,NSE_EQ|INE481G01011,Cement,False
SHREECEM,NSE_EQ|INE070A01015,Cement,False
AMBUJACEM,NSE_EQ|INE079A01024,Cement,False
ACC,NSE_EQ|INE012A01025,Cement,False
DALBHARAT,NSE_EQ|INE531A01024,Cement,False
RAMCOCEM,NSE_EQ|INE331A01037,Cement,False
JKCEMENT,NSE_EQ|INE823G01014,Cement,False
HEIDELBERG,NSE_EQ|INE578A01017,Cement,False
BIRLACORPN,NSE_EQ|INE340A01012,Cement,False
INDIACEM,NSE_EQ|INE383A01012,Cement,False
LT,NSE_EQ|INE018A01030,Infrastructure,False
SIEMENS,NSE_EQ|INE003A01024,Infrastructure,False
ABB,NSE_EQ|INE117A01022,Infrastructure,False
HAVELLS,NSE_EQ|INE176B01034,Infrastructure,False
BHEL,NSE_EQ|INE257A01026,Infrastructure,False
BEL,NSE_EQ|INE263A01024,Infrastructure,False
HAL,NSE_EQ|INE066F01020,Infrastructure,False
IRCTC,NSE_EQ|INE335Y01020,Infrastructure,False
PIIND,NSE_EQ|INE603J01030,Infrastructure,False
DIXON,NSE_EQ|INE935N01020,Infrastructure,False
CUMMINSIND,NSE_EQ|INE298A01020,Infrastructure,False
KEC,NSE_EQ|INE389H01022,Infrastructure,False
KALPATPOWR,NSE_EQ|INE220B01022,Infrastructure,False
THERMAX,NSE_EQ|INE152A01029,Infrastructure,False
GRINDWELL,NSE_EQ|INE536A01023,Infrastructure,False
AIAENG,NSE_EQ|INE212H01026,Infrastructure,False
TIINDIA,NSE_EQ|INE090A01021,Infrastructure,False
CONCOR,NSE_EQ|INE111A01025,Infrastructure,False
IRFC,NSE_EQ|INE053F01010,Infrastructure,False
RVNL,NSE_EQ|INE415G01027,Infrastructure,False
POLYCAB,NSE_EQ|INE455K01017,Infrastructure,False
SUZLON,NSE_EQ|INE040H01021,Infrastructure,False
JSWINFRA,NSE_EQ|INE880J01026,Infrastructure,False
MAZDOCK,NSE_EQ|INE249Z01020,Infrastructure,False
ASTRAL,NSE_EQ|INE006I01046,Infrastructure,False
SBILIFE,NSE_EQ|INE123W01016,Finance,False
HDFCLIFE,NSE_EQ|INE795G01014,Finance,False
ICICIPRULI,NSE_EQ|INE726G01019,Finance,False
BAJFINANCE,NSE_EQ|INE296A01032,Finance,False
BAJAJFINSV,NSE_EQ|INE918I01026,Finance,False
CHOLAFIN,NSE_EQ|INE121A01024,Finance,False
MUTHOOTFIN,NSE_EQ|INE414G01012,Finance,False
M&MFIN,NSE_EQ|INE774D01024,Finance,False
MANAPPURAM,NSE_EQ|INE522D01027,Finance,False
SHRIRAMFIN,NSE_EQ|INE721A01047,Finance,False
SBICARD,NSE_EQ|INE018E01016,Finance,False
RECLTD,NSE_EQ|INE020B01018,Finance,False
PFC,NSE_EQ|INE134E01011,Finance,False
CANFINHOME,NSE_EQ|INE477A01020,Finance,False
ICICIGI,NSE_EQ|INE765G01017,Finance,False
NIACL,NSE_EQ|INE470Y01017,Finance,False
ABCAPITAL,NSE_EQ|INE674K01013,Finance,False
LICIHSGFIN,NSE_EQ|INE115A01026,Finance,False
POONAWALLA,NSE_EQ|INE511C01022,Finance,False
MOTILALOFS,NSE_EQ|INE338I01027,Finance,False
ANGELONE,NSE_EQ|INE732I01021,Finance,False
HDFCAMC,NSE_EQ|INE127D01025,Finance,False
CAMS,NSE_EQ|INE596I01020,Finance,False
CDSL,NSE_EQ|INE736A01011,Finance,False
MCX,NSE_EQ|INE745G01043,Finance,False
BSE,NSE_EQ|INE118H01025,Finance,False
MFSL,NSE_EQ|INE180A01020,Finance,False
PNBHOUSING,NSE_EQ|INE572E01012,Finance,False
TITAN,NSE_EQ|INE280A01028,Consumer,False
TRENT,NSE_EQ|INE849A01020,Consumer,False
PAGEIND,NSE_EQ|INE761H01022,Consumer,False
VOLTAS,NSE_EQ|INE226A01021,Consumer,False
CROMPTON,NSE_EQ|INE299U01018,Consumer,False
WHIRLPOOL,NSE_EQ|INE716A01013,Consumer,False
BATAINDIA,NSE_EQ|INE176A01028,Consumer,False
RELAXO,NSE_EQ|INE131B01039,Consumer,False
INDHOTEL,NSE_EQ|INE053A01029,Consumer,False
NAUKRI,NSE_EQ|INE663F01032,Consumer,False
ZOMATO,NSE_EQ|INE758T01015,Consumer,False
POLICYBZR,NSE_EQ|INE417T01026,Consumer,False
DMART,NSE_EQ|INE192R01011,Consumer,False
ASIANPAINT,NSE_EQ|INE021A01026,Consumer,False
BERGEPAINT,NSE_EQ|INE463A01038,Consumer,False
PIDILITIND,NSE_EQ|INE318A01026,Consumer,False
SHOPERSTOP,NSE_EQ|INE498B01024,Consumer,False
JUBLFOOD,NSE_EQ|INE797F01020,Consumer,False
DEVYANI,NSE_EQ|INE872J01023,Consumer,False
KAYNES,NSE_EQ|INE918Z01012,Consumer,False
PAYTM,NSE_EQ|INE982J01020,Consumer,False
LICI,NSE_EQ|INE0J1Y01017,Consumer,False
VEDANTFASH,NSE_EQ|INE825V01034,Consumer,False
NYKAA,NSE_EQ|INE388Y01029,Consumer,False
METROBRAND,NSE_EQ|INE317I01021,Consumer,False
EIH,NSE_EQ|INE230A01023,Consumer,False
SRF,NSE_EQ|INE647A01010,Metals,False
DEEPAKNTR,NSE_EQ|INE288B01029,Metals,False
AARTIIND,NSE_EQ|INE769A01020,Metals,False
LTFH,NSE_EQ|INE498L01015,Finance,False
KFINTECH,NSE_EQ|INE138Y01010,Finance,False
GODREJIND,NSE_EQ|INE233A01035,Consumer,False
DELHIVERY,NSE_EQ|INE148O01028,Consumer,False
HONAUT,NSE_EQ|INE671A01010,Consumer,False
BHARAT,NSE_EQ|INE171Z01026,Infrastructure,False
ELECON,NSE_EQ|INE205B01031,Infrastructure,False
HUDCO,NSE_EQ|INE031A01017,Infrastructure,False
GUJGASLTD,NSE_EQ|INE844O01030,Energy,False
MGL,NSE_EQ|INE002S01010,Energy,False
IGL,NSE_EQ|INE203G01027,Energy,False
ATGL,NSE_EQ|INE399L01023,Energy,False
PFIZER,NSE_EQ|INE182A01018,Pharma,False
SANOFI,NSE_EQ|INE058A01010,Pharma,False
INTELLECT,NSE_EQ|INE306R01017,IT,False
UJJIVANSFB,NSE_EQ|INE551W01018,Banking,False
EQUITASBNK,NSE_EQ|INE063P01018,Banking,False
NIFTY ENERGY,NSE_INDEX|Nifty Energy,Energy,True
NIFTY BANK,NSE_INDEX|Nifty Bank,Banking,True
NIFTY IT,NSE_INDEX|Nifty IT,IT,True
NIFTY FMCG,NSE_INDEX|Nifty FMCG,FMCG,True
NIFTY PHARMA,NSE_INDEX|Nifty Pharma,Pharma,True
NIFTY AUTO,NSE_INDEX|Nifty Auto,Auto,True
NIFTY METAL,NSE_INDEX|Nifty Metal,Metals,True
NIFTY FIN SERVICE,NSE_INDEX|Nifty MS Fin Serv,Finance,True
NIFTY INFRA,NSE_INDEX|Nifty Infra,Infrastructure,True
NIFTY CONSUMPTION,NSE_INDEX|Nifty Consumption,Consumer,True
NIFTY MULTI INFRA,NSE_INDEX|Nifty Multi Infra,Cement,True
NIFTY SERV SECTOR,NSE_INDEX|Nifty Serv Sector,Telecom,True
ABB,NSE_EQ|INE117A01022,Infrastructure,False
